variable,pembrolizumab,chemotherapy,trial_id
age_median,63.0,62.0,KEYNOTE-181
age_ge65,0.443,0.424,KEYNOTE-181
male,0.869,0.863,KEYNOTE-181
asia_region,0.385,0.389,KEYNOTE-181
ecog_0,0.401,0.369,KEYNOTE-181
ecog_1,0.596,0.627,KEYNOTE-181
ecog_2,0.003,0.003,KEYNOTE-181
squamous_histology,0.631,0.646,KEYNOTE-181
adenocarcinoma,0.369,0.354,KEYNOTE-181
pd_l1_ge10,0.341,0.366,KEYNOTE-181
pd_l1_lt10,0.64,0.624,KEYNOTE-181
prior_adjuvant_neoadjuvant,0.102,0.102,KEYNOTE-181
metastatic_stage,0.924,0.911,KEYNOTE-181
locally_advanced_stage,0.076,0.089,KEYNOTE-181
prior_therapies_0,0.006,0.0,KEYNOTE-181
prior_therapies_1,0.965,0.987,KEYNOTE-181
prior_therapies_ge2,0.029,0.013,KEYNOTE-181
